Category,Keywords,Generated_Keywords
GHG Emissions,"greenhouse_gas_emissions,greenhouse_gases,ghg_emissions,scope1_emissions,scope_1_emissions,co2,carbon_dioxide,carbon_dioxide_emissions,ch4,methane,methane_emissions,n2o,nitrous_oxide,nitrous_oxide_emissions,hfc,hfcs,hydrofluorocarbon,hydrofluorocarbons,pfc,pfcs,perfluorocarbon,perfluorocarbons,sf6,sulfur_hexafluoride,sulfur_hexafluoride_emissions,nf3,nitrogen_trifluoride,nitrogen_trifluoride_emissions,ghg,ghgs,carbon_intensity,carbon_emissions_intensity,ghg_intensity,ghg_emissions_intensity,carbon_regulation,carbon_regulations,direct_emissions,direct_ghg_emissions,kyoto_protocol,iso14064,iso14064_1,co2e,carbon_equivalent,emission_factor,ghg_footprint,net_zero_emissions","ghg_emissions,co2,carbon_dioxide,ch4,methane,n2o,nitrous_oxide,hfc,hfcs,hydrofluorocarbon,pfc,pfcs,perfluorocarbon,sf6,sulfur_hexafluoride,nf3,nitrogen_trifluoride,ghg,ghgs,carbon_intensity,ghg_intensity,kyoto_protocol,iso14064,co2e,emission_factor,ghg_footprint,accordancewith,iso1406432006e,methane_emission,andverification,egrid,epa_egrid,carbon_dioxide_equivalent,specification_guidance_validation,verificationopinion,million_metric_ton,gasghg,n2o,greenhouse_gas_assertion,egrid2016,defra,uk_defra,conversion_factor,dekras,carbon_dioxide_equivalent_co2e,verica,wriwbscd,ghgassertion,verificationteam,iso140643,1000as,theghg,reduce_methane_emission,verificationplan,equivalent_co2e,cxpsghg,subregion,metric_ton,egrid2012,wdcs,nox,c4f8,egrid2019,egrid2018,no2equivalent,particulate_matter,metric_ton_carbon_dioxide,sulfur_dioxide_so2,ghg_emission,greenhouse_gas,perfluorocarbon_pfc,scope_1_emission,carbon_dioxide,co2,greenhouse_gas_emission,greenhouse_gas_ghg_emission,nitrogen_trifluoride,nf3,triflouride,ghg_emission_intensity,hexafluoride_sf6,greenhouse_gas_ghg,sf6_emission,gasespart,emission,ch4,perfluorocarbon,pfcs,metric_ton_co2e,carbon_dioxide_co2,hexafluoride,emit,hexauoride,fluorinated,co2e_emission,ghg_inventory,ghg,ghgs,sulfur_hexafluoride,co2_equivalent,ch4_nitrous_oxide_n2o,sf6,carbon_footprint,methane,co2_emission,sulfur_hexafluoride_sf6,hydrofluorocarbon_hfcs,ghgscarbon,ghg_reduction,egrid2014,co2_ch4_n2o_hfc,hydrofluorocarbon,hfc,ch4_nitrous,ghds,hydrofluorocarbonsare,pfc,absolute_emission,calculation_co2_ch4,hfcs,carbon_emission,n2o_hfc_pfc_sf6,refrigerant,nitrogen_oxide,oxide_n2o,hfc_pfc,emission_reduction,sf6_nf3,greenhouse_gas_inventory,carbon_dioxide_co2_methane,gasinsulate,co2_methane_ch4_nitrous,pfc_sf6_nf3,nitrous_oxide_n2o,n2o_hfc,kgco2etherm,co_2,monoxide,co2_ch4,co2_emit,sequester,emission_intensity,nitrous,colorless,ton_co2,fugtive,protocolcarbon,indirect_emission,release_atmosphere,co2e,scope_2_emission,nitrous_oxide,potent_greenhouse_gas,highgwp,ghgmrr,mtco2esq,energy_intensity,n20,carbon_dioxide_emission,cf6,scope_1,air_emission,scope_3,nonbiogenic,hydrofluoroolefin,indirect_ghg_emission,tonsmwh,htfs,hydrochlorofluorocarbon,montreal_protocol,gjm,hcfc,kgft3,co2_methane,ozonedepletion,chlorofluorocarbon_cfc,fgase,hfcbased"
Air Quality,"nox,nitrogen_oxides,nitrogen_oxide_emissions,sox,sulfur_oxides,sulfur_oxide_emissions,volatile_organic_compounds,volatile_organic_compound,voc,vocs,particulate_matter,pm10,pm10_emissions,pm2.5,pm2.5_emissions,black_carbon,black_carbon_emissions,chlorofluorocarbon,chlorofluorocarbons,cfc,cfcs,ozone_precursor,ozone_precursors,stack_emission,stack_emissions,ambient_air_quality,ambient_air_pollution,air_pollutant,smog,airborne_toxics,aermod,aqi","sox,volatile_organic_compound,voc,vocs,pm10,heavy_metal,cfc,cfcs,ambient_air_quality,air_pollutant,smog,corporateregistercom,naaqs,sulfur_dioxide_emission,so2_emission,selective_catalytic_reduction,cadmium,scrs,nox_emission,nitrogen_oxide_nox,111trichloroethane,particulate_matter_pm,oxide_nitrogen,carbon_monoxide_co,sulfur_oxide,sulfur_dioxide_nitrogen_oxide,particulate_emission,air_pollutant,sulfur_dioxide,sox_particulate,volatile_organic_compound_vocs,dpfs,particulate,voc,vocs,volatile_organic_compound_voc,volatile_organic_compound,nox_particulate,pm10,dpf,air_pollution,air_quality,criterion_pollutant,soot,pm25,so2,voc_emission,dioxide_so2,overfire,oxides,matter_pm,nitrogen_oxide_nox_emission,tetrachloride,mgnm3,photochemically,hazardous_air_pollutant,chemicalsspecifically,nox_sox,nitrogen_oxide_nox_sulfur,nox_sulfur,significate,c29,sox_nox,aldehyde,hcfcs,nonvoc,offgasse,formaldehyde,semivolatile,hap,compound_vocs,biooxidation,carbon_monoxide"
Energy Management,"energy_efficiency,energy_efficiencies,energy_intensity,energy_intensities,energy_mix,energy_portfolio,grid_reliance,grid_dependency,renewable_energy,renewables_share,energy_consumption,energy_consumptions,gwh,mwh,joule,joules,iso50001,energy_management_standard,pue,power_usage_effectiveness,data_center_energy,data_center_energy_use,energy_audit,energy_audits,demand_response,demand_response_programs,energy_management_system,energy_management_systems,energy_saving,load_factor,peak_demand,smart_metering,building_energy_modeling","energy_efficiency,renewable_energy,energy_consumption,gwh,joule,iso50001,pue,demand_response,energy_saving,peak_demand,smart_metering,renewable_power,wind_solar,renewable_electricity,solar_wind,purchase_renewable_energy,usage_effectiveness_pue,solar_power,renewable_generation,onsite_solar,power_purchase_agreement,iso500012018,peak_demand,demand_response,gwh,solar,wind_energy,wind_power,renewable_energy_credit,renewable_resource,green_power,energy_usage,energyefficiency,clean_energy,renewable_source,improve_energy_efficiency,mwh_electricity,kwh,electricity_consumption,megawatt_hour_mwh,energy_saving,energy_efficiency,megawatt_hour,reduce_energy_consumption,megawatthour_mwh,energyefficient,demandresponse,electricity,energy,million_kwh,energysave,gigawatthour,peak_load,electricity_usage,megawatt,energy_consumption,kilowatt_hour,kilowatthour,million_kilowatthour,gigajoule,timeofuse,kwhyear,smartac,smart_thermostat,renewable_energy,smartcharge,peakdemand,smartday,power_consumption,kbtusq,smartrate,smart_meter,million_therm"
Water & Wastewater Management,"water_use,water_uses,water_consumption,water_consumptions,water_intensity,water_intensities,water_recycling,water_recycled,water_efficiency,water_efficiencies,wastewater_discharge,wastewater_discharges,effluent,effluents,groundwater_pollution,groundwater_contamination,aquifer,aquifers,water_stress,water_scarcity,wri_aqueduct,water_withdrawal,water_withdrawals,water_quality,water_qualities,iso14046,greywater,blue_water,water_footprint,stormwater_runoff,effluent_treatment","wastewater_discharge,effluent,groundwater_contamination,aquifer,water_stress,water_scarcity,wri_aqueduct,water_withdrawal,greywater,stormwater_runoff,water_scarcity,stormwater,floridan,storm_water,ewater,water_withdrawal,wri_aqueduct,storm_water_runoff,effluent,runoff,scarcity,water_conservation,groundwater,water_risk_atlas,baseline_water_stress,water_stress,water_discharge,high_extremely_high,wastewater,aqueduct_tool,waterstress,extremely_high_baseline,wastewater_discharge,waterstresse_area,water,waterstresse,world_resources_institute_aqueduct,aqueducttm,water_withdraw,aqueduct_water,wri_aqueduct_tool,aqueduct_water_risk_atlas,treat_wastewater,aqueduct,discharge,water_scarce,effluent_discharge,surface_water,waterscarce,locate_waterstresse,waterscarce_area,freshwater,waterstresse_region,waterrisk,discharge_wastewater,significantly_affect_withdrawal,wastewater_treatment,cubic_meter,waterrelate_risk,wastewater_treatment_plant,rainwater,fresh_water,discharge_permit,wastewater_effluent,potw,municipal_wastewater,biotreatment"
Waste & Hazardous Materials Management,"hazardous_waste,hazardous_wastes,non_hazardous_waste,non_hazardous_wastes,waste_generation,waste_generations,waste_treatment,waste_treatments,waste_storage,waste_storages,waste_disposal,waste_disposals,solid_waste,solid_wastes,waste_recycling,waste_recycled,landfill_diversion,landfill_diversion_rate,circular_economy_waste,waste_management_system,waste_management_systems,listed_waste,listed_wastes,rt_ae_150a_1,basel_convention,radioactive_waste,radioactive_wastes,e_waste,electronic_waste,chemical_waste,waste_hierarchy,composting,anaerobic_digestion","hazardous_waste,waste_disposal,solid_waste,landfill_diversion,landfill_diversion_rate,basel_convention,electronic_waste,composting,anaerobic_digestion,ewaste,hazardous_waste_generate,circular_economy,transboundary,waste,nonhazardous,nonhazardous_waste,waste_landfill,waste_stream,waste_generate,waste_send_landfill,landfill,hazardous_nonhazardous_waste,landfille,compost,hazardous_nonhazardous,itmanage,waste2,diversion_rate,recycling,hazardous_waste_disposal,send_landfill,incinerate,recycle,hazardous_waste,solid_waste,waste_diversion_rate,waste_diversion,waste_disposal,incineration,recycling_rate,divert,divert_landfill,chemicalspecial,dispose,disposal,galsf,weight_transport,landfill1,away_landfill,soil_amendment,wastetoenergy"
Ecological Impacts,"biodiversity,biodiversity_loss,habitat_destruction,habitat_loss,deforestation,deforested_land,land_use_change,land_use_changes,ecosystem_services,ecosystem_service_loss,endangered_species,threatened_species,invasive_species,invasive_species_management,protected_areas,protected_area,environmental_impact_assessment,eia,site_remediation,site_remediations,reclamation,land_reclamation,biodiversity_offsetting,iso14055,habitat_restoration,reforestation,ecological_footprint,species_richness,ecotoxicity","biodiversity,deforestation,endangered_species,eia,reclamation,habitat_restoration,reforestation,ecological_footprint,ecotoxicity,eliminate_deforestation,highconservationvalue,reclaim,contribute_deforestation,reforest,high_biodiversity,ecosystem,habitat,natural_habitat,specie_habitat,specie,wildlife_habitat,ecological,forest,rainforest,wildlife,endanger_specie,species,wetland,threaten_specie,highbiodiversity,wetland_restoration"
Human Rights & Community Relations,"human_rights_due_diligence,human_rights_assessment,indigenous_peoples,indigenous_rights,free_prior_informed_consent,fpic,stakeholder_engagement,stakeholder_involvement,socio_economic_impact,socio_economic_impacts,community_impact_assessment,community_impact_assessments,local_workforce_development,local_hiring,environmental_justice,license_to_operate,social_license,social_license_to_operate,human_rights_policy,labor_rights_assessment,community_grievance_mechanism","fpic,stakeholder_engagement,local_hiring,environmental_justice,prior_inform_consent,materiality_assessment,approach_stakeholder_engagement,ej,prior_informed_consent,external_stakeholder"
Customer Privacy,"personally_identifiable_information,pii,pii_protection,data_privacy,data_privacy_management,opt_in,opt_in_consent,opt_out,opt_out_mechanism,targeted_advertising,behavioral_advertising,consent_management,privacy_impact_assessment,privacy_risk_assessment,gdpr_compliance,gdpr,data_retention_policy,data_retention,cookie_management,cookie_consent,ccpa_compliance,ccpa,privacy_by_design,anonymization,pseudonymization","personally_identifiable_information,pii,gdpr,ccpa,anonymization,cpra,personally_identifiable_information,pii,ccpa,gdpr,data_protection,general_data_protection,lgpd,regulation_gdpr,privacy_act_ccpa,privacy,act_ccpa,european_union_general,data_protection_regulation_gdpr,protection_regulation_gdpr,datum_privacy,dataprivacy,proteo,confidential_information,glba,privacy_security,privacyrelate,eprivacy,9546ec,bliley,identiable,privacyprotecte,gramm,hipaaprotected,hipaa,businesssensitive,privacy_notice"
Data Security,"data_breach,data_breaches,cybersecurity,information_security,info_sec,iso27001,isms,nist_cs_framework,nist_csf,encryption,data_encryption,penetration_testing,pen_testing,vulnerability_assessment,vulnerability_assessments,threat_monitoring,threat_detection,incident_response_plan,mfa,multi_factor_authentication,security_token,security_tokens,confidential_information,confidential_data,attack_surface,security_posture,zero_trust,access_control,siem,security_operations_center","cybersecurity,iso27001,encryption,penetration_testing,vulnerability_assessment,mfa,security_posture,siem,cyber_security,penetration_test,cyber_threat,cirp,cybersecurity_threat,multifactor_authentication,tabletop_exercise,cyberattack,insider_threat,firewall,antimalware,cyberthreat,cybersecurity_framework,nist,phishe,incident_response,cybersecurity,threat_landscape,nist_cybersecurity_framework,penetration_testing,antiphishe,pcidss,standard_technology_nist,intrusion_detection,redteam,ransomware,antivirus,cyber_incident,whiteliste,authentication,emergency_response_plan,malware,security_threat,confdentiality,c2m2,threat_intelligence,internetface,spearphishing,defenseindepth"
Access & Affordability,"digital_divide,digital_gap,underserved_markets,underserved_populations,low_income_customers,low_income_households,affordable_pricing,affordable_price,universal_access,universal_service,inclusive_design,inclusive_designs,accessibility_standards,accessibility_guidelines,broadband_access,broadband_coverage,financial_inclusion,financial_inclusivity,subsidized_services,subsidized_rates,sliding_scale_pricing,sliding_scale_fees,equitable_access,service_coverage_gap","digital_divide,affordable_price"
Product Quality & Safety,"product_recall,product_recalls,quality_management_system,iso9001,safety_testing,safety_tests,product_liability,product_liabilities,ingredient_management,ingredient_disclosure,chemicals_management,chemicals_control,hazard_analysis,hazard_analyses,failure_rate,failure_rates,safety_compliance,product_safety_compliance,quality_audit,quality_control,gsmp,gmp","qms,iso9001,hazard_analysis,gsmp,gmp,airp,ts16949,iso13485,hazard_analysis_critical,45001ohsas,iso_9001,harpc,13485certified,control_point_haccp,iso_13485,is0,haccp,safety_modernization_act,ichgcp,9342eec"
Customer Welfare,"health_nutrition,healthy_nutrition,antibiotic_use,antibiotics_use,controlled_substances,controlled_drugs,product_counterfeit,counterfeit_products,counterfeit_prevention,anti_counterfeiting,animal_welfare,dietary_guidelines,nutrition_guidelines,sugar_reduction,sugar_reduced,trans_fats,trans_fat_reduction,social_impact_of_products,product_social_impact,safe_prescription,safe_drug_prescription,public_health_impact,food_safety,nutraceuticals","humane_treatment_animal,humane,animal_wellbeing,animal_handling,slaughter,humanely,animal_husbandry,antibiotic"
Selling Practices & Product Labeling,"responsible_marketing,responsible_advertising,advertising_standards,ad_standards,deceptive_labeling,misleading_labeling,predatory_lending,predatory_sales,fair_disclosure,fair_marketing,marketing_compliance,compliance_marketing,misleading_claims,false_claims,product_label_accuracy,label_accuracy,standard_of_identity,standards_of_identity,greenwashing,green_marketing_claims,ftc_guidelines,ftc_compliance,truth_in_advertising,claims_validation",greenwashing
Labor Practices,"child_labour,child_labor,forced_labour,forced_labor,bonded_labour,bonded_labor,fair_wages,living_wage,overtime_pay,overtime_compensation,minimum_wage,minimum_salary,freedom_of_association,foa,collective_bargaining,collective_bargaining_rights,labour_rights,labor_rights,ilo_conventions,ilo_standards,wage_compliance,wage_compliances,modern_slavery,worker_safety,workplace_rights","child_labour,child_labor,living_wage,overtime_pay,minimum_wage,foa,collective_bargaining,modern_slavery,forced_compulsory_labor,force_compulsory_labor,slavery_human_trafficking,slavery,modern_slavery_act,uk_modern_slavery_act,force_child_labor,modern_slavery_human_trafficking,human_traffic,bargain_collectively,child_force_labor,force_involuntary,indenture_labor,force_labor,right_freedom_association,child_labor_force_labor,live_wage,human_trafficking,compulsory_labor,legally_mandate_benefit,incident_child_labor,freedom_association,force_bond,freedom_association_collective_bargaining,effective_abolition,force_compulsory,hourly_wage,local_minimum_wage,child_labor,hr6_operation,comply_applicable_wage,forced_compulsory,wage_overtime,overtime_hour,minimum_wage,ilo_declaration,minimumwage,elimination_forced,wage_benefit,associationcollective,fair_wage,60_hour_week,piecerate,hour_week,wagesbenefit,working_hour"
Employee Health & Safety,"occupational_health_and_safety,occupational_safety,ohs,osh,trir,ltir,lost_time_incident_rate,lost_time_injury_rate,safety_management_system,sms,iso45001,iso_45001,personal_protective_equipment,ppe,safety_training,safety_trainings,near_miss_reporting,near_misses_reporting,workplace_incidents,safety_inspection,ergonomics","occupational_safety,ohs,osh,trir,ltir,sms,iso45001,iso_45001,personal_protective_equipment,ppe,ergonomics,personal_protective_equipment,ppe,lose_workday_case,lose_workday,lwir,awayrestricte,osha_recordable_rate,lose_time_injury_rate,iso45001,lostday,trir,lose_time_incident_rate,ltir,personal_protective_equipment_ppe,ohsa_18001,ohsas18001,total_recordable_injury_rate,ohsas_18001,assessment_series_ohsa,recordable_injury,day_away_restrict_transfer,dart_rate,injury_rate,recordable_injury_rate,ohsa_180012007,day_away_work,protective_equipment,lose_time,rate_ltir,ldir,recordable_incident_rate,iso450012018,osha_recordable,losttime_incident,incident_200000,ltcr,18001_iso,injury_200000,iso_45001,18001iso,18001certified,18001certifie,occupational_health_safety,face_shield,gssf,mezzago,frontline_worker,social_distancing,temperature_check,equipment_ppe,lockout_tagout,health_safety,safetymanagement,403ma,srmp,hira"
"Employee Engagement, Diversity & Inclusion","employee_engagement,employee_engagement_score,workforce_diversity,workforce_diverse,inclusion_programs,inclusion_initiatives,employee_survey,employee_surveys,dei,diversity_equity_inclusion,turnover_rate,staff_turnover,gender_parity,gender_balance,pay_equity,pay_parity,employee_resource_groups,erg,diversity_training,diversity_trainings,inclusive_culture,unconscious_bias_training","dei,diversity_equity_inclusion,turnover_rate,gender_parity,gender_balance,pay_equity,pay_parity,erg,belonging,inclusive_culture,unconscious_bias_training,ergs,unconscious_bias,inclusive_environment,resource_group_erg,brg,pay_parity,pay_equity,diverse_inclusive_workplace,voluntary_turnover_rate,affinity_group,embrace_difference,ebrg,cultivate_inclusive,bring_self_work,tmn,bring_authentic_self_work,create_inclusive_culture,pride66,foster_inclusive,diverse_perspective,diversity_inclusion,culture_inclusion,inclusion_diversity,diverse_workforce,resource_group_ergs,diversity_equity_inclusion_dei,inclusive_workplace,diversity_equity_inclusion,dei,diverse_inclusive_culture,diversity_inclusion_di,pay_equity_analysis,gender_pay_equity,diverse_inclusive,equal_pay,inclusive_culture,diversity_inclusion_belong,pay_gap,diverse_talent,equal_pay_equal,equity_inclusion,nonminoritie,gender_diversity,payequity,allyship,inclusion_belong,representation_woman,gender_parity,foster_diverse_inclusive,remuneration_woman,female_representation,paradigm_parity,gender_representation,gender_pay_gap,gender_race,increase_representation_woman,female,unexplained,gender_ethnicity,inclusion,femaletomale,gender_raceethnicity,gender_racial,gender_race_ethnicity,advancement_woman,parityorg,gender_equality,racesethnicitie,regardless_gender,gender_equity,women_forum_new_york,ueg"
Product Design & Lifecycle Management,"lifecycle_assessment,life_cycle_assessment,lca,eco_design,eco_designs,circular_economy,circular_product_design,sustainable_packaging,sustainable_packagings,product_stewardship,design_for_environment,end_of_life_management,eol_management,design_for_recycling,dfr,cradle_to_cradle,c2c,r_d_innovation,rd_innovation,research_and_development_innovation,eco_label,environmental_product_declaration","lifecycle_assessment,life_cycle_assessment,product_stewardship,dfr,c2c,ellen_macarthur_foundation,lcas,life_cycle_assessment,life_cycle_assessment_lca,lifecycle_assessment,life_cycle_analysis,lifecycle_analysis,epds,x646dte,iso_14040,cradletograve,life_cycle_assessment_lcas,lcabase,x736de,lifecycle_assessment_lca,life_cycle,simapro,lcabased,cradletogate,pcfs,vert,green_chemistry"
Business Model Resilience,"climate_transition_risk,low_carbon_economy,low_carbon_transition,scenario_analysis,scenarios_analysis,strategic_adaptation,strategic_resilience,underserved_markets_growth,new_market_creation,emerging_market_strategy,business_model_innovation,business_model_transformation,long_term_planning,long_term_strategy,stress_test_scenario,resilience_planning,business_continuity","scenario_analysis,business_continuity,climate_scenario,business_continuity_plan,climate_scenario_analysis,business_continuity_planning,tcfd_recommendation,tcfd,business_continuity_disaster_recovery,scenario_analyse,bcp,climaterelate_risk,climatescenario,climaterelate_risk_opportunity"
Supply Chain Management,"supplier_screening,supplier_screenings,supplier_code_of_conduct,supplier_coc,esg_audit,esg_audits,supplier_engagement,supplier_engagements,responsible_sourcing,responsible_procurement,scope3_impacts,scope_3_impacts,supplier_monitoring,supplier_monitorings,vendor_management,vendor_management_system,supplier_risk_assessment,supplier_risk_assessments,supply_chain_traceability,supply_chain_visibility,ethical_sourcing,supply_chain_due_diligence","responsible_sourcing,ethical_sourcing,supply_chain,conflict_mineral,responsible_sourcing_mineral,sourcing,supplier_code_conduct,responsible_mineral,conflictfree_source,conflict_free,tin_tantalum_tungsten_gold,3tg,initiative_cfsi,conflictfree_mineral,country_origin_inquiry"
Materials Sourcing & Efficiency,"recycled_content,recycled_contents,renewable_materials,renewable_material,material_substitution,material_substitutions,resource_efficiency,resource_efficiencies,circular_material_flows,circular_material_flow,critical_materials,critical_raw_materials,recycled_feedstock,recycled_feedstocks,material_intensity,material_intensities,sourcing_resilience,sourcing_resiliencies,alternative_material_r_and_d,alternative_material_research,virgin_materials,conflict_minerals","recycled_content,recycle_content"
Physical Impacts of Climate Change,"asset_resilience,assets_resilience,extreme_weather,extreme_weather_events,sea_level_rise,sea_level_rises,climate_adaptation,adaptation_to_climate_change,flood_risk,flooding_risk,heat_stress,heatwave_risk,wildfire_risk,wildfires_risk,infrastructure_resilience,resilience_of_infrastructure,iso14090,climate_hazard,climate_hazards,permafrost_thaw,coastal_erosion","extreme_weather,sea_level_rise,climate_adaptation,heat_stress,storm_surge,coastal_flooding,severe_weather,extreme_weather,extreme_weather_event,sealevel_rise,rise_sea_level,sea_level,heat_wave,sea_level_rise,weather_event,flooding,severe_storm,change_weather_pattern,rise_temperature,drought,heatwaves,severeweather,severe_weather_event,storm,increase_frequency_severity,acute_physical,extreme_temperature,tornadohailstorm"
Business Ethics,"anti_corruption,anticorruption,bribery,anti_bribery,fraud_prevention,fraud_detection,facilitation_payments,facilitation_fees,fiduciary_duty,fiduciary_responsibility,code_of_ethics,ethics_code,conflict_of_interest,coi,ethics_training,ethics_trainings,whistleblower_protection,whistleblower_policy,anticorruption_compliance,anti_corruption_compliance,iso37001,ethical_conduct,integrity_program","anti_corruption,anticorruption,bribery,fraud_prevention,fiduciary_duty,fiduciary_responsibility,coi,whistleblower_protection,whistleblower_policy,ethical_conduct,ethical_behavior,ethical_standard,ethic_integrity,bribe,high_ethical_standard,anticorruption_bribery,improper_payment,corrupt,ethical,legal_ethical,act_integrity,facilitation_payment,anticorruption_policy,antibribery_anticorruption,antibribery,anticorruption_antibribery,bribery_corruption,ethic,corruption,antibribery_corruption,anticorruption_law,corruption_bribery,foreign_corrupt_practice,code_ethic,code_conduct,conduct_ethic,ethic_compliance,anticorruption_training,act_fcpa,anticorruption,bribery,whistleblower,prohibit_bribery,conflict_interest,antibribery_policy,antiboycott,money_laundering,insider_trading,antibribery_anticorruption_law,illegal_unethical_behavior,violation_code,whistleblower_hotline,report_know_suspect,fiduciary"
Competitive Behavior,"antitrust,anti_trust,price_fixing,price_rigging,monopolistic_practices,monopoly_practices,collusion,market_collusion,market_manipulation,manipulation_of_market,ip_protection,intellectual_property_protection,monopoly_abuse,abuse_of_dominance,competition_law,competition_regulation,predatory_pricing,predatory_pricing_strategies,fair_competition,fair_market_competition,market_power,competitive_intelligence","antitrust,collusion,intellectual_property_protection,competition_law,fair_competition,anticompetitive,antitrust_law,anticompetitive_behavior,fair_competition,antitrust,antitrust_competition_law,antitrust_competition,competition_antitrust,fair_deal,anticorruption_antitrust,compete_fairly,collusive,pricefixe,fair_dealing"
Management of the Legal & Regulatory Environment,"lobbying_disclosure,lobbying_reporting,regulatory_compliance,compliance_with_regulations,public_policy_engagement,government_policy_engagement,subsidy_dependence,subsidy_dependency,tax_incentives,tax_subsidies,policy_advocacy,advocating_policy,government_relations,governmental_relations,regulatory_risk_management,managing_regulatory_risk,compliance_programs,compliance_management_system,iso37301,policy_monitoring,regulatory_affairs","lobbying_disclosure,regulatory_compliance,compliance"
Critical Incident Risk Management,"emergency_response,emergency_response_plan,crisis_management,crisis_management_plan,disaster_recovery,disaster_recovery_plan,high_impact_incidents,high_impact_events,safety_culture,culture_of_safety,scenario_planning,scenario_plans,preventive_controls,preventive_measures,incident_reporting,incident_reports,safety_systems,safety_management_systems,iso22301,iso_22301,iso31000,iso_31000,continuity_planning,drill_exercises","disaster_recovery,disaster_recovery_plan,continuity_planning,responder,emergency,emergency_preparedness,recoverybusiness,emergency_responder,preparedness,emergency_situation,evacuation,emergency_planning,emergency_preparedness_response,bcem,disaster,incident_command_system,crisis,activeshooter,regularlyupdate,disaster_recovery_plan,bcms,contingency_planning,drps,malevolent,bcdr,bcm"
Systemic Risk Management,"systemic_risk,systemic_risks,macroprudential_regulation,macroprudential_regulations,financial_stress_testing,financial_stress_tests,capital_adequacy,capital_adequacy_ratio,interconnectedness,interconnectivity,shock_absorption,shocks_absorption,risk_buffer,capital_buffer,tail_risk,tail_risks,basel_iii,basel3,living_will,living_wills,stress_testing,stress_test,global_systemic_important,gsib,network_risk","capital_adequacy,interconnectedness,interconnectivity,basel_iii,stress_testing,stress_test,gsib,riskweighte_asset,riskweighted,stress_test,stress_testing,lcr,idiosyncratic,cet1,percent_riskweighte_asset,tier_1_capital,capital_adequacy,basel_iii,basel,stresstest,risksensitive,riskweighting,common_equity,risk_appetite,stresstesting,netdebttocapital,liquidityrelate,gsib,hyperconnectivity"
